HolderAddress,Balance,PendingBalanceUpdate
0x0002a0f7c16a43d29ef1b61d4ccf325466dd041a,100,No
0x000518d8b2daa2a30bf4c7c43b22c74236ae1617,100,No
0x000759558cfc0ac866f045ff4fa58ddc7b4ecfbc,100,No
0x00096421f67d8ccec3f0ccbd1243570a2e37f837,6307.8223,No
0x000ba6f91a3649e272adc523dfd2dfa9db8e2bee,7290.06702,No
0x000f7d375d68c85cf69bafb9e65b7d8ca4e6ad9e,2,No
0x000f90aa354eb1ab4122071a78278ff00be3191a,1.00E-07,No
0x0010074a953473b44ed21786af9fd37355fac840,100,No
0x0011bc3e660e674c1e3acda2761811c2b5f74b87,1096.332333,No
0x00130a5f71d54b7692f3f40161a0792851c0df72,1,No
0x00155a99d110a332d7f8307b51c243bbe4f74470,1.00E-07,No
0x001979b7517d9e5c6326d43a3fb842c1256c251a,100,No
0x001995b89d36798e83b75d4456f887adb6d852fb,1,No
0x001a931980f2d3d6908bfdcad67f89d0316ebd8f,1.00E-07,No
0x002103fd07ceacec15d9be8f84eba13d2c6bbdfd,100,No
0x002144c1a44f1cac7a2459ce19cae0eb1d0284e1,1000,No
0x00227895c5c945c7d42a18698c6d88bf405e396f,100,No
0x0023d39dd6225f12acb5b3de71b2a2154709eafa,143445.64,No
0x00245aa0454c02d9231811a0645d969cc1787f28,38874.80964,No
0x0029824f65a64c672b467dc0ce5d965058381264,100,No
0x0029f24326fca5dcf3a8969953b19634aceeaf0b,100,No
0x002b015a6145963b2653894f6ff142318f7ea030,100,No
0x002b066dcb5d6bace0fb06cf9194448bbbee542a,100,No
0x002b1fa787270fb6e6263a5b33713867ff511b3b,100,No
0x002b3aff23f83799e64fd51111ad7c4215b51c2f,100,No
0x002e58f9759521b4b43f1bd7462b1a8b285dd834,380,No
0x0030f45abb7d4a446466c64cdef5e40a6a4de77e,1000,No
0x00334153d77b9494f0c30c242a275089bdde28de,4380,No
0x0034fe7e22db17eb10cdcab7183e18f2d270f17c,0.2,No
0x0036474f204425745bfdc3025e3180e35534f041,20197.686,No
0x0037ac76be8c8912ab428806cabbb86ff860acae,100,No
0x003b515ab0786166641a30909ab3b13e2791c588,29.93060744,No
0x0040984c62289237514c0a5cf7cb8db8e3c2a45a,1,No
0x0040f54deac754503793aa81683245e3494ca3eb,100,No
0x0041d19fc6b6a121ab8a677b29252858e9461e60,965.894542,No
0x0043bf57351ca14e833d93ef52514f94f1bec850,100,No
0x0045f99939c93de0db55de2f274459c5f2b3e711,100,No
0x004639bcf212e0d02b42ec7bb7f8e0588d775cb4,1059.4994,No
0x004a0a6110af8a3ede460dec484afafcfa6bb600,100,No
0x004ad9804807458027ff01bb88f873263120c65e,71672,No
0x0050da6aec59a49a34abc8d4f3c7c175d7675627,7031.3088,No
0x00515b5528ed60209d1ed16ce7e324f2c915d074,2500.12182,No
0x0054901603fc5ea771bbcbd7ed9c3e50ed41f0d2,100,No
0x005e3e5e9e90cda6a2a5dcff6f55ee358d7803e1,100,No
0x0061d311c77a5d7e9691c0ee59df64d56da898c8,14070.07324,No
0x0062f695ad8b02a32e13d9dea8a189a7aab3f1ad,1687.959041,No
0x0063c0931e4189533daed9f06cb92ac9d37aec49,22796.41334,No
0x0065d0fb60301bdc10b1886a66c79f59ee09c964,100,No
0x006fbb8671f6d0ee6d2fad47aaacf3631d02b238,100,No
0x00738fd6d50fdb3f6b16ab4e0be64c5def146ce5,1,No
0x0074c4f9f46857fd5ee231c208a4be0a1a37ee26,100,No
0x00799bbc833d5b168f0410312d2a8fd9e0e3079c,10116,No
0x0079ce80043edc3325598e4a3b6293ab779bf174,100,No
0x0079d421b1022d46e3eb3553b3ba6926d1b3ceea,2333,No
0x00818bbe7a6f6c3633345e4adb9c033c94a883dd,100,No
0x0081942d59523ee16ea8f7eb88e2c8ffee132196,1223,No
0x0083dc8a7650eb8127412fab19a6bf26c9a55fe7,605.1329,No
0x008fe19fade04426aab62dafae77b4e644ab351c,100,No
0x00921732baf80e31bb39afdc05ad4f35fe834e78,1300,No
0x0093cf7cd2019f326e389a64c276c50e937468d5,100,No
0x0094172c381c9305743b283ca292e5d3af09990c,9,No
0x009479541eabe452905201b56bf74ca826131ed4,139848.6787,No
0x0096e68b7e4d12447066022c08d081a589b541b5,100,No
0x00992deccf69866c8a29204d84d2416696011fdb,11515.412,No
0x009a927942e2d19d1c6b23d9f76a5c097900515a,5000,No
0x009b6f347d957e1374610319d75d49348c54251c,0.4,No
0x009d4fc1f32818ab680942528ee1f98ce06472f1,53.466,No
0x009dcd9ee2679e1a794297acdcdb9b325ed9f2d5,100,No
0x009e0fd4709cff482a3eb4f8afc8f3cf0a527744,100,No
0x00a81e39d9b696b35cfa737a31ca39197bbf320e,100,No
0x00a83e95a30765e4938ad86370b25f941a3caa86,100,No
0x00a98da285c0d30be0d7368f0eb62a45fbd30fba,560,No
0x00a9aa3648a35c2b0ac8b6bb3e95494e20589e0b,15514.65816,No
0x00aa8053d315d98c1d07c74cdc89b4573f5265f5,41,No
0x00aaa026e5cc4f41b28105f57521d3d789310bef,5000,No
0x00abe6c3019cdd58cdd4c96c3b942f8b0d65a6bb,1.00E-18,No
0x00ae555f34c8fa13706e8474e49f8c16768bca45,100,No
0x00b08f19b351e0ff66f27f99ece7c667f1388c36,2070,No
0x00b1da0dce700a9a8f7c436bf2da23aca5d3f993,19640.49451,No
0x00b23f367ad1c854ef990682901c597bbce59dae,55064,No
0x00b2a4277180a1649a22bb6a9e99ba5da66e2b88,1.00E-07,No
0x00b6e718745a71c0a0e9e9f9a1b586edc5ad1a66,1.00E-07,No
0x00b7f9585d61fbb589889d3a493a22a8ed6cee8b,176.4763,No
0x00b8a766e235b7660b3509dc1749889749025a39,250,No
0x00bc8307a32a62ce51e8f1509b3e2359a024b30c,3072.20406,No
0x00bd19c8bb45a2bb9b4870c28966ac0f09642678,100,No
0x00bd383fc8c258363890ce8785f0e09f2057d113,100,No
0x00c254bfff48993270f2182f9f50f83c674cfbeb,100,No
0x00c3b35033054dbde7abdec667c0dab3b602fbeb,100,No
0x00c4088a45db04497859dd372a72657e2f7bfe9e,888,No
0x00c48f7ec6de7e82f3a786480dbbe5a73da5d14d,33694.018,No
0x00c4c2eed441fc72c2b2868002a134ad76846626,0.413969,No
0x00c5bd86be5b3e5a03475c8500a5b548c0977773,82414.86986,No
0x00ca4a9e6a469d103abd33e00da27fe259da67b2,100,No
0x00caca2529b78f5f32d2f25dc143987b2ca91f8a,3680.405614,No
0x00cc96c9280c1f7bf2827b6b64629b3b726acb43,92,No
0x00cd0cddfbaa920e3c483646462e8a8eac9fa3bb,100,No
0x00ce07595100dd1d97c5fa4c2c6a83dfc859cbea,100,No
0x00ceabec4dc326d689880216aaf98a786ce4e3a0,100,No
0x00d09854a293a64ee335d407f1bacbc1bea68935,25,No
0x00d109051dff7b64b55947c60184050ed389bdb1,100,No
0x00d632cba005c835f49d764fdffa5891d4b015b4,100,No
0x00d6f42a9f9a6b90ac438f5e7b7bfeaaa99a3cd4,100,No
0x00d7b44598e95abf195e4276f42a3e07f9d130e3,100,No
0x00d9dc98cd35d297c22b4ea8fda58562164f3dca,100,No
0x00d9ef6847b42d81d866589d8a7f477439f9ce2c,641.375,No
0x00dc5fcf5a87d72ea2ffe1297b7d4eeea45ccd02,65,No
0x00dcc9e66461240003e40c4389c30a97305d2b60,100,No
0x00dcd60355df8e94ce0e595489061b8006e278bb,36007.11901,No
0x00dfb6b4005b6e126ec4532c2c52f682d8187600,11034.0727,No
0x00dfe3184fabf61d3537580a2b0f5171b2d3c953,100,No
0x00e22f15e5e6bb28f32680ee211ea2bfb73f657d,10815.58544,No
0x00e383e7cd43858f87c5866a580ba8b41146b445,2,No
0x00e509ab1ed2f557a5d6f665d4263be015e53df0,100,No
0x00e547fb823c5e8d99450355d914406631882d2a,100,No
0x00e69217b947bf94d4aeeeac83c9b57ecb87c940,242.4834577,No
0x00e817b31818685648b1f1b08e9d288f8be153c4,9218.09678,No
0x00e8bd75f420ba95e3efbdd0aafd53a883bd391a,0.7574454,No
0x00e91dbdadafb5cb97c9e421555d365427cf21ad,160.6330353,No
0x00ec6a8d7fd7d8a54118bda98792b19c4906c59c,15038,No
0x00f0f8cfcb278edea63ff05ce6849647b77fcafc,27078.85819,No
0x00f26ece6c8716bdded31924b446c92ff388aee2,100,No
0x00f2fa6bc507405105a9a76a4e4fdfa5983855ff,1.00E-07,No
0x00f3431bbd68a6d1d886546f5e92b6f7797b5b33,975.2979,No
0x00fc6300b77a8ea902d576eafaa9ba40daa7c415,20139.7697,No
0x00fe0e72969a623ca7b3287b43eb1164d298ec56,182.444,No
0x00fe15169739cf2e363be1ff377063b644004acc,1,No
0x00fe52a61fd6eda72fb38332a0eb78f468eff60e,0.1,No
0x00fe6dfbf73c5cdeee66ec5db09314c4e86ea954,12922.518,No
0x00ff91ad5d88cc7c3cc2b270bce8a7cb5a7613f4,10992.945,No
0x01073aa44bdd1aa3bb9c150acfe3a5b929f39354,1.25,No
0x010856b8a3ce4701016a1d0c9572423c7f4c733d,10,No
0x010f30bec07b8ffc8557fed51203f41c478adfa2,3972,No
0x0110adcff74ed3568ea61f86cf237eb452e79ddc,1.00E-07,No
